vehicleId;totalTraveledDistanceKm;nbTSTraveling
Vehicle_1;133;15
Vehicle_13;128;15
Vehicle_2;112;14
Vehicle_12;143;16
Vehicle_15;144;17
Vehicle_14;48;5
Vehicle_30;155;16
Vehicle_11;83;8
Vehicle_10;98;10
Vehicle_17;98;10
Vehicle_16;141;13
Vehicle_19;74;7
Vehicle_18;85;10
Vehicle_9;51;9
Vehicle_7;72;10
Vehicle_8;100;12
Vehicle_5;56;8
Vehicle_6;80;6
Vehicle_3;170;19
Vehicle_4;135;17
Vehicle_24;73;7
Vehicle_23;176;19
Vehicle_26;57;7
Vehicle_25;118;12
Vehicle_20;181;20
Vehicle_22;130;16
Vehicle_21;163;18
Vehicle_28;76;9
Vehicle_27;59;6
Vehicle_29;115;15
