vehicleId;maxBatteryLevelKm;nbDemands
Vehicle_1;143;16
Vehicle_13;66;12
Vehicle_2;52;7
Vehicle_12;110;18
Vehicle_15;106;13
Vehicle_14;57;10
Vehicle_30;45;8
Vehicle_11;55;7
Vehicle_10;27;7
Vehicle_17;102;14
Vehicle_16;65;10
Vehicle_19;88;15
Vehicle_18;78;11
Vehicle_9;65;9
Vehicle_7;28;8
Vehicle_8;83;9
Vehicle_5;38;10
Vehicle_6;73;12
Vehicle_3;70;10
Vehicle_4;64;11
Vehicle_24;80;11
Vehicle_23;98;12
Vehicle_26;32;10
Vehicle_25;48;10
Vehicle_20;41;7
Vehicle_22;127;17
Vehicle_21;55;12
Vehicle_28;45;13
Vehicle_27;47;12
Vehicle_29;46;10
