%% LaTeX2e file `tikz/demands.dat'
%% generated by the `filecontents' environment
%% from source `master' on 2016/03/01.
%%
TS;TOTALDEMAND
0;1
1;0
2;1
3;0
4;0
5;0
6;0
7;2
8;1
9;0
10;1
11;0
12;0
13;0
14;0
15;0
16;1
17;0
18;0
19;0
20;1
21;1
22;1
23;1
24;2
25;2
26;2
27;0
28;2
29;0
30;2
31;4
32;5
33;3
34;6
35;1
36;7
37;4
38;4
39;2
40;5
41;2
42;3
43;2
44;4
45;5
46;6
47;1
48;5
49;3
50;6
51;2
52;3
53;1
54;3
55;2
56;2
57;4
58;1
59;4
60;3
61;1
62;3
63;6
64;3
65;5
66;3
67;7
68;5
69;4
70;3
71;3
72;2
73;6
74;3
75;0
76;3
77;3
78;3
79;4
80;1
81;0
82;0
83;1
84;3
85;1
86;2
87;0
88;0
89;0
90;0
91;1
92;0
93;0
94;0
95;0
